time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
7.712,100,72.1092,27.8908,-50.7136,216.676,0.697271,2.44273,3.83727
7.744,100,71.7192,28.2808,-50.2611,24.3702,0.707019,2.43298,3.84702
7.776,100,68.4017,31.5983,-49.7555,207.345,0.789957,2.35004,3.92996
7.808,100,68.365,31.635,-49.2494,2.29214,0.790874,2.34913,3.93087
7.84,100,61.8781,38.1219,-48.6394,405.432,0.953047,2.18695,4.09305
7.872,100,68.7132,31.2868,-48.1388,-427.193,0.782169,2.35783,3.92217
7.904,100,72.1622,27.8378,-47.6934,-215.561,0.695945,2.44406,3.83594
7.936,100,69.0837,30.9163,-47.1988,192.408,0.772908,2.36709,3.91291
7.968,100,65.1877,34.8123,-46.6418,243.496,0.870306,2.26969,4.01031
8,100,64.456,35.544,-46.0731,45.7344,0.8886,2.2514,4.0286
8.032,100,62.5382,37.4618,-45.4737,119.861,0.936545,2.20346,4.07654
8.064,100,69.6756,30.3244,-44.9885,-446.084,0.758111,2.38189,3.89811
8.096,100,70.7021,29.2979,-44.5197,-64.1617,0.732446,2.40755,3.87245
8.128,100,66.4955,33.5045,-43.9836,262.916,0.837613,2.30239,3.97761
8.16,100,67.1369,32.8631,-43.4578,-40.0887,0.821577,2.31842,3.96158
8.192,100,73.0813,26.9187,-43.0271,-371.525,0.672967,2.46703,3.81297
8.224,100,68.6671,31.3329,-42.5258,275.887,0.783322,2.35668,3.92332
8.256,100,63.2794,36.7206,-41.9383,336.733,0.918015,2.22198,4.05802
8.288,100,67.8821,32.1179,-41.4244,-287.67,0.802947,2.33705,3.94295
8.32,100,65.8433,34.1567,-40.8779,127.427,0.853918,2.28608,3.99392
8.352,100,65.0688,34.9312,-40.319,48.4066,0.873281,2.26672,4.01328
8.384,100,64.7497,35.2503,-39.755,19.94,0.881257,2.25874,4.02126
8.416,100,68.8085,31.1915,-39.2559,-253.67,0.779789,2.36021,3.91979
8.448,100,65.1679,34.8321,-38.6986,227.535,0.870803,2.2692,4.0108
8.48,100,70.0294,29.9706,-38.2191,-303.844,0.749265,2.39074,3.88926
8.512,100,67.663,32.337,-37.7017,147.9,0.808425,2.33158,3.94842
8.544,100,63.8005,36.1995,-37.1225,241.406,0.904987,2.23501,4.04499
8.576,100,69.9843,30.0157,-36.6422,-386.484,0.750393,2.38961,3.89039
8.608,100,68.474,31.526,-36.1378,94.3912,0.78815,2.35185,3.92815
8.64,100,63.6095,36.3905,-35.5556,304.034,0.909763,2.23024,4.04976
8.672,100,71.176,28.824,-35.0944,-472.906,0.720601,2.4194,3.8606
8.704,100,64.8482,35.1518,-34.532,395.487,0.878796,2.2612,4.0188
8.736,100,63.9081,36.0919,-33.9545,58.7528,0.902297,2.2377,4.0423
8.768,100,63.4793,36.5207,-33.3702,26.7998,0.913017,2.22698,4.05302
8.8,100,62.437,37.563,-32.7691,65.1465,0.939075,2.20092,4.07908
8.832,100,60.0994,39.9006,-32.1307,146.099,0.997515,2.14248,4.13752
8.864,100,70.8454,29.1546,-31.6643,-671.626,0.728865,2.41114,3.86886
8.896,100,67.8961,32.1039,-31.1506,184.332,0.802597,2.3374,3.9426
8.928,100,67.4522,32.5478,-30.6298,27.7419,0.813694,2.32631,3.95369
8.96,100,65.9532,34.0468,-30.0851,93.6912,0.851171,2.28883,3.99117
8.992,100,65.4757,34.5243,-29.5327,29.8404,0.863107,2.27689,4.00311
9.024,100,73.1411,26.8589,-29.103,-479.087,0.671472,2.46853,3.81147
9.056,100,66.6406,33.3594,-28.5692,406.28,0.833984,2.30602,3.97398
9.088,100,71.8744,28.1256,-28.1192,-327.109,0.70314,2.43686,3.84314
9.12,100,66.3269,33.6731,-27.5804,346.721,0.841828,2.29817,3.98183
9.152,100,71.211,28.789,-27.1198,-305.257,0.719726,2.42027,3.85973
9.184,100,72.3783,27.6217,-26.6779,-72.9582,0.690542,2.44946,3.83054
9.216,100,71.2292,28.7708,-26.2175,71.8192,0.71927,2.42073,3.85927
9.248,100,73.6693,26.3307,-25.7962,-152.503,0.658269,2.48173,3.79827
9.28,100,79.5933,20.4067,-25.4697,-370.253,0.510167,2.62983,3.65017
9.312,100,74.6909,25.3091,-25.0648,306.397,0.632726,2.50727,3.77273
9.344,100,79.0155,20.9845,-24.729,-270.284,0.524613,2.61539,3.66461
9.376,100,86.9367,13.0633,-24.52,-495.077,0.326582,2.81342,3.46658
9.408,100,93.357,6.64296,-24.4137,-401.269,0.166074,2.97393,3.30607
9.44,100,93.0888,6.91116,-24.3031,16.7626,0.172779,2.96722,3.31278
9.472,100,91.8394,8.16062,-24.1726,78.0913,0.204016,2.93598,3.34402
9.504,100,105.69,-5.69038,-24.2636,-865.687,-0.142259,3.28226,2.99774
9.536,100,100.969,-0.969172,-24.2791,295.075,-0.0242293,3.16423,3.11577
9.568,100,106.212,-6.21184,-24.3785,-327.667,-0.155296,3.2953,2.9847
9.6,100,106.713,-6.71333,-24.4859,-31.3432,-0.167833,3.30783,2.97217
9.632,100,117.416,-17.4155,-24.7646,-668.888,-0.435388,3.57539,2.70461
9.664,100,110.152,-10.1525,-24.927,453.941,-0.253812,3.39381,2.88619
9.696,100,126.397,-26.3975,-25.3494,-1015.31,-0.659937,3.79994,2.48006
9.728,100,132.452,-32.4519,-25.8686,-378.4,-0.811297,3.9513,2.3287
9.76,100,141.225,-41.2251,-26.5282,-548.329,-1.03063,4.17063,2.10937
9.792,100,140.936,-40.9357,-27.1832,18.0922,-1.02339,4.16339,2.11661
9.824,100,152.086,-52.0859,-28.0166,-696.891,-1.30215,4.44215,1.83785
9.856,100,157.164,-57.1643,-28.9312,-317.401,-1.42911,4.56911,1.71089
9.888,100,184.21,-84.2102,-30.2785,-1690.37,-2.10526,5.24526,1.03474
9.92,100,197.99,-97.9897,-31.8464,-861.216,-2.44974,5.58974,0.690258
9.952,100,213.549,-113.549,-33.6632,-972.477,-2.83873,5.97873,0.301268
9.984,100,211.098,-111.098,-35.4407,153.202,-2.77745,5.91745,0.362548
10.016,100,232.412,-132.412,-37.5593,-1332.14,-3.31031,6,-0.170308
10.048,100,225.876,-125.876,-39.5733,408.544,-3.14689,6,-0.00689037
10.08,100,224.215,-124.215,-41.5608,103.758,-3.10539,6,0.0346129
10.112,100,228.578,-128.578,-43.618,-272.643,-3.21444,6,-0.0744441
10.144,100,226.038,-126.038,-45.6347,158.723,-3.15095,6,-0.0109548
10.176,100,229.888,-129.888,-47.7129,-240.584,-3.24719,6,-0.107189
10.208,100,214.329,-114.329,-49.5421,972.379,-2.85824,5.99824,0.281763
10.24,100,221.707,-121.707,-51.4894,-461.091,-3.04267,6,0.0973264
10.272,100,230.813,-130.813,-53.5824,-569.119,-3.27032,6,-0.130321
10.304,100,233.121,-133.121,-55.7124,-144.273,-3.32803,6,-0.18803
10.336,100,234.293,-134.293,-57.8611,-73.2609,-3.35733,6,-0.217335
10.368,100,235.594,-135.594,-60.0306,-81.2794,-3.38985,6,-0.249847
10.4,100,221.681,-121.681,-61.9775,869.539,-3.04203,6,0.0979692
